,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,time_next,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,knee_angle_r_next,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,ankle_angle_r_next,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,knee_angle_l_next,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l,ankle_angle_l_next
58,3.52,-32.13790051,-113.79280284,-8.70750698,1.32115543,3.51,3.515,3.525,-4.21364948,-4.26052344,-4.33388312,-4.41171415,3.29179859,3.46975997,3.66700393,3.85931404,-26.0275292,-24.65595358,-23.24617616,-21.83200666,-11.34755176,-11.81737153,-12.2773703,-12.70983307
59,3.525,-32.62641795,-115.29373505,-9.41465394,1.29060123,3.515,3.52,3.53,-4.26052344,-4.33388312,-4.41171415,-4.49730425,3.46975997,3.66700393,3.85931404,4.04494678,-24.65595358,-23.24617616,-21.83200666,-20.42161877,-11.81737153,-12.2773703,-12.70983307,-13.0880419
60,3.53,-33.09773008,-116.80805885,-10.21150476,1.2433207,3.52,3.525,3.535,-4.33388312,-4.41171415,-4.49730425,-4.59121086,3.66700393,3.85931404,4.04494678,4.22850919,-23.24617616,-21.83200666,-20.42161877,-19.01943797,-12.2773703,-12.70983307,-13.0880419,-13.41523246
61,3.535,-33.53045693,-118.34701225,-11.2871196,1.17822913,3.525,3.53,3.54,-4.41171415,-4.49730425,-4.59121086,-4.70725724,3.85931404,4.04494678,4.22850919,4.42288282,-21.83200666,-20.42161877,-19.01943797,-17.61185243,-12.70983307,-13.0880419,-13.41523246,-13.69030133
62,3.54,-33.90476703,-119.92086572,-12.43091474,1.09584576,3.53,3.535,3.545,-4.49730425,-4.59121086,-4.70725724,-4.81029795,4.04494678,4.22850919,4.42288282,4.58091096,-20.42161877,-19.01943797,-17.61185243,-16.2547321,-13.0880419,-13.41523246,-13.69030133,-13.89541017
63,3.545,-34.20738156,-121.54067122,-13.62079754,0.99614913,3.535,3.54,3.55,-4.59121086,-4.70725724,-4.81029795,-4.94589297,4.22850919,4.42288282,4.58091096,4.75526926,-19.01943797,-17.61185243,-16.2547321,-14.87323309,-13.41523246,-13.69030133,-13.89541017,-14.09766228
64,3.55,-34.43003914,-123.21573303,-14.84462546,0.87944554,3.54,3.545,3.555,-4.70725724,-4.81029795,-4.94589297,-5.09266558,4.42288282,4.58091096,4.75526926,4.92121881,-17.61185243,-16.2547321,-14.87323309,-13.54851144,-13.69030133,-13.89541017,-14.09766228,-14.25609215
65,3.555,-34.56828067,-124.95062413,-16.08958408,0.74643845,3.545,3.55,3.56,-4.81029795,-4.94589297,-5.09266558,-5.24723281,4.58091096,4.75526926,4.92121881,5.07882501,-16.2547321,-14.87323309,-13.54851144,-12.22961402,-13.89541017,-14.09766228,-14.25609215,-14.38622257
66,3.56,-34.6202407,-126.74174375,-17.34215188,0.59826996,3.55,3.555,3.565,-4.94589297,-5.09266558,-5.24723281,-5.42750911,4.75526926,4.92121881,5.07882501,5.22926197,-14.87323309,-13.54851144,-12.22961402,-10.96261883,-14.09766228,-14.25609215,-14.38622257,-14.53508389
67,3.565,-34.58818666,-128.57946697,-18.58790582,0.43656404,3.555,3.56,3.57,-5.09266558,-5.24723281,-5.42750911,-5.60968033,4.92121881,5.07882501,5.22926197,5.37377617,-13.54851144,-12.22961402,-10.96261883,-9.72405643,-14.25609215,-14.38622257,-14.53508389,-14.66192608
