,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l,delta_t_prev,delta_t,del_delta_t,knee_angular_vel_r_prev,knee_angular_vel_r,knee_angular_acc_r,ankle_angular_vel_r_prev,ankle_angular_vel_r,ankle_angular_acc_r,knee_angular_vel_l_prev,knee_angular_vel_l,knee_angular_acc_l,ankle_angular_vel_l_prev,ankle_angular_vel_l,ankle_angular_acc_l
45,3.455,-28.19649803,-93.00168759,-6.04837674,0.91526141,3.445,3.45,-3.77940521,-3.76938128,-3.7744111,0.49242977,0.70501768,0.92578743,-42.198297,-41.11541926,-40.00807659,-7.25862872,-7.31216386,-7.41105122,0.005,0.005,0.005,2.004786,-1.005964,-602.15,42.517582,44.15395,327.2736,216.575548,221.468534,978.5972,-10.707028,-19.777472,-1814.0888
46,3.46,-28.38779146,-94.62995908,-5.92995246,0.95509076,3.45,3.455,-3.76938128,-3.7744111,-3.78770113,0.70501768,0.92578743,1.15073436,-41.11541926,-40.00807659,-38.88027252,-7.31216386,-7.41105122,-7.558439,0.005,0.005,0.005,-1.005964,-2.658006,-330.4084,44.15395,44.989386,167.0872,221.468534,225.560814,818.456,-19.777472,-29.477556,-1940.0168
47,3.465,-28.57070264,-96.28134841,-5.848327,0.99846955,3.455,3.46,-3.7744111,-3.78770113,-3.81498096,0.92578743,1.15073436,1.38726894,-40.00807659,-38.88027252,-37.73411964,-7.41105122,-7.558439,-7.72419029,0.005,0.005,0.005,-2.658006,-5.455966,-559.592,44.989386,47.306916,463.506,225.560814,229.230576,733.9524,-29.477556,-33.150258,-734.5404
48,3.47,-28.75555714,-97.94817422,-5.80767412,1.04466321,3.46,3.465,-3.78770113,-3.81498096,-3.84200176,1.15073436,1.38726894,1.62070407,-38.88027252,-37.73411964,-36.546727,-7.558439,-7.72419029,-7.98617917,0.005,0.005,0.005,-5.455966,-5.40416,10.3612,47.306916,46.687026,-123.978,229.230576,237.478528,1649.5904,-33.150258,-52.397776,-3849.5036
49,3.475,-28.9525628,-99.6208095,-5.81355828,1.09252621,3.465,3.47,-3.81498096,-3.84200176,-3.87589226,1.38726894,1.62070407,1.84881402,-37.73411964,-36.546727,-35.33104844,-7.72419029,-7.98617917,-8.2675201,0.005,0.005,0.005,-5.40416,-6.7781,-274.788,46.687026,45.62199,-213.0072,237.478528,243.135712,1131.4368,-52.397776,-56.268186,-774.082
50,3.48,-29.1700257,-101.2879354,-5.87098994,1.14065992,3.47,3.475,-3.84200176,-3.87589226,-3.91579499,1.62070407,1.84881402,2.07546362,-36.546727,-35.33104844,-34.08869754,-7.98617917,-8.2675201,-8.59234085,0.005,0.005,0.005,-6.7781,-7.980546,-240.4892,45.62199,45.32992,-58.414,243.135712,248.47018,1066.8936,-56.268186,-64.96415,-1739.1928
51,3.485,-29.412727,-102.9373996,-5.98450199,1.18744424,3.475,3.48,-3.87589226,-3.91579499,-3.96469032,1.84881402,2.07546362,2.30133504,-35.33104844,-34.08869754,-32.79502994,-8.2675201,-8.59234085,-8.9710125,0.005,0.005,0.005,-7.980546,-9.779066,-359.704,45.32992,45.174284,-31.1272,248.47018,258.73352,2052.668,-64.96415,-75.73433,-2154.036
52,3.49,-29.6866444,-104.5613488,-6.15827049,1.23108106,3.48,3.485,-3.91579499,-3.96469032,-4.00815107,2.07546362,2.30133504,2.50956435,-34.08869754,-32.79502994,-31.48498186,-8.59234085,-8.9710125,-9.40127867,0.005,0.005,0.005,-9.779066,-8.69215,217.3832,45.174284,41.645862,-705.6844,258.73352,262.009616,655.2192,-75.73433,-86.053234,-2063.7808
53,3.495,-29.99914065,-106.1577919,-6.39639998,1.26965741,3.485,3.49,-3.96469032,-4.00815107,-4.04166667,2.30133504,2.50956435,2.69179352,-32.79502994,-31.48498186,-30.14631913,-8.9710125,-9.40127867,-9.87978265,0.005,0.005,0.005,-8.69215,-6.70312,397.806,41.645862,36.445834,-1040.0056,262.009616,267.732546,1144.586,-86.053234,-95.700796,-1929.5124
54,3.5,-30.35372089,-107.7264079,-6.70816602,1.30161159,3.49,3.495,-4.00815107,-4.04166667,-4.10476636,2.50956435,2.69179352,2.90764444,-31.48498186,-30.14631913,-28.80038995,-9.40127867,-9.87978265,-10.34290699,0.005,0.005,0.005,-6.70312,-12.619938,-1183.3636,36.445834,43.170184,1344.87,267.732546,269.185836,290.658,-95.700796,-92.624868,615.1856
55,3.505,-30.75016785,-109.2685566,-7.09129145,1.3245875,3.495,3.5,-4.04166667,-4.10476636,-4.15780371,2.69179352,2.90764444,3.10203042,-30.14631913,-28.80038995,-27.42230074,-9.87978265,-10.34290699,-10.84165398,0.005,0.005,0.005,-12.619938,-10.60747,402.4936,43.170184,38.877196,-858.5976,269.185836,275.617842,1286.4012,-92.624868,-99.749398,-1424.906
56,3.51,-31.18484493,-110.7883254,-7.54960452,1.33666601,3.5,3.505,-4.10476636,-4.15780371,-4.21364948,2.90764444,3.10203042,3.29179859,-28.80038995,-27.42230074,-26.0275292,-10.34290699,-10.84165398,-11.34755176,0.005,0.005,0.005,-10.60747,-11.169154,-112.3368,38.877196,37.953634,-184.7124,275.617842,278.954308,667.2932,-99.749398,-101.179556,-286.0316
57,3.515,-31.65154805,-112.2938008,-8.0870389,1.33605637,3.505,3.51,-4.15780371,-4.21364948,-4.26052344,3.10203042,3.29179859,3.46975997,-27.42230074,-26.0275292,-24.65595358,-10.84165398,-11.34755176,-11.81737153,0.005,0.005,0.005,-11.169154,-9.374792,358.8724,37.953634,35.592276,-472.2716,278.954308,274.315124,-927.8368,-101.179556,-93.963954,1443.1204
58,3.52,-32.13790051,-113.7928028,-8.70750698,1.32115543,3.51,3.515,-4.21364948,-4.26052344,-4.33388312,3.29179859,3.46975997,3.66700393,-26.0275292,-24.65595358,-23.24617616,-11.34755176,-11.81737153,-12.2773703,0.005,0.005,0.005,-9.374792,-14.671936,-1059.4288,35.592276,39.448792,771.3032,274.315124,281.955484,1528.072,-93.963954,-91.999754,392.84
59,3.525,-32.62641795,-115.2937351,-9.41465394,1.29060123,3.515,3.52,-4.26052344,-4.33388312,-4.41171415,3.46975997,3.66700393,3.85931404,-24.65595358,-23.24617616,-21.83200666,-11.81737153,-12.2773703,-12.70983307,0.005,0.005,0.005,-14.671936,-15.566206,-178.854,39.448792,38.462022,-197.354,281.955484,282.8339,175.6832,-91.999754,-86.492554,1101.44
