,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l,delta_t_prev,delta_t,del_delta_t,knee_angular_vel_r_prev,knee_angular_vel_r,knee_angular_acc_r,ankle_angular_vel_r_prev,ankle_angular_vel_r,ankle_angular_acc_r,knee_angular_vel_l_prev,knee_angular_vel_l,knee_angular_acc_l,ankle_angular_vel_l_prev,ankle_angular_vel_l,ankle_angular_acc_l,knee_r_sin,knee_r_sin2,knee_r_cos,knee_r_cos2,ankle_r_sin,ankle_r_sin2,ankle_r_cos,ankle_r_cos2,knee_l_sin,knee_l_sin2,knee_l_cos,knee_l_cos2,ankle_l_sin,ankle_l_sin2,ankle_l_cos,ankle_l_cos2,knee_angle_r_^2,knee_angle_r_^3,ankle_angle_r_^2,ankle_angle_r_^3,knee_angle_l_^2,knee_angle_l_^3,ankle_angle_l_^2,ankle_angle_l_^3,knee_angle_r_tan,ankle_angle_r_tan,knee_angle_l_tan,ankle_angle_l_tan
20,3.33,-9.71697183,-57.44075334,-2.45904766,0.79101918,3.32,3.325,-8.17475281,-7.79434814,-7.45958327,-3.4945593,-3.38219045,-3.30313777,-61.5277379,-61.11969738,-60.66929373,-14.23016555,-13.72445537,-13.17791365,0.005,0.005,0.005,76.080934,66.952974,-1825.592,22.47377,15.810536,-1332.6468,81.608104,90.08073,1694.5252,101.142036,109.308344,1633.2616,-0.12982679,-0.25745605,0.991536689,0.966290009,-0.0576187,-0.115045953,0.998338663,0.993360171,-0.871806875,-0.854108752,0.489849746,-0.520094453,-0.227975558,-0.44394449,0.973666855,0.89605429,55.64538256,-415.0913648,10.91071913,-36.03960845,3680.763202,-223309.3038,173.6574082,-2288.44233,-0.130934933,-0.057714584,-1.779743447,-0.234141233
21,3.335,-10.88537926,-58.75814604,-3.12039394,0.779512,3.325,3.33,-7.79434814,-7.45958327,-7.12153343,-3.38219045,-3.30313777,-3.19481491,-61.11969738,-60.66929373,-60.18251993,-13.72445537,-13.17791365,-12.67461262,0.005,0.005,0.005,66.952974,67.609968,131.3988,15.810536,21.664572,1170.8072,90.08073,97.35476,1454.806,109.308344,100.660206,-1729.6276,-0.123974415,-0.246036008,0.992285415,0.969260689,-0.055731149,-0.111289065,0.998445812,0.993788078,-0.867613794,-0.862822275,0.49723868,-0.50550739,-0.21941393,-0.428134441,0.975631861,0.903715055,50.71623839,-361.1773872,10.20684231,-32.60897199,3621.935705,-217977.2178,160.6458051,-2036.123348,-0.124938262,-0.055817901,-1.744863843,-0.224894183
22,3.34,-12.0098779,-60.09250756,-3.76047755,0.76929187,3.33,3.335,-7.45958327,-7.12153343,-6.78338687,-3.30313777,-3.19481491,-3.10686386,-60.66929373,-60.18251993,-59.67458343,-13.17791365,-12.67461262,-12.16760115,0.005,0.005,0.005,67.609968,67.629312,3.8688,21.664572,17.59021,-814.8724,97.35476,101.5873,846.508,100.660206,101.402294,148.4176,-0.118116049,-0.234578426,0.992999798,0.972097198,-0.054198434,-0.108237545,0.998530185,0.994125059,-0.863171656,-0.871649001,0.504910579,-0.490130615,-0.210772067,-0.412074243,0.977535235,0.911150272,46.01433743,-312.1330523,9.652603045,-29.98932355,3561.055908,-212504.5279,148.0505177,-1801.41965,-0.118948714,-0.054278213,-1.709553517,-0.215615825
23,3.345,-13.09273632,-61.44248427,-4.36353896,0.76101713,3.335,3.34,-7.12153343,-6.78338687,-6.4839388,-3.19481491,-3.10686386,-2.98343105,-60.18251993,-59.67458343,-59.11644558,-12.67461262,-12.16760115,-11.68844777,0.005,0.005,0.005,67.629312,59.889614,-1547.9396,17.59021,24.686562,1419.2704,101.5873,111.62757,2008.054,101.402294,95.830676,-1114.3236,-0.11292469,-0.224404747,0.99360355,0.974496029,-0.052047168,-0.103953249,0.998644628,0.994582185,-0.858212272,-0.881032035,0.513294941,-0.473056607,-0.202589856,-0.396777775,0.979263678,0.917914701,42.04146236,-272.594269,8.90086083,-26.55510457,3494.754138,-206597.4428,136.6198113,-1596.873528,-0.113651658,-0.052117807,-1.671967135,-0.206879782
24,3.35,-14.14096321,-62.80535135,-4.92912995,0.75384454,3.34,3.345,-6.78338687,-6.4839388,-6.20125108,-3.10686386,-2.98343105,-2.82360179,-59.67458343,-59.11644558,-58.51186993,-12.16760115,-11.68844777,-11.26633006,0.005,0.005,0.005,59.889614,56.537544,-670.414,24.686562,31.965852,1455.858,111.62757,120.91513,1857.512,95.830676,84.423542,-2281.4268,-0.108021063,-0.214777979,0.994148606,0.9766629,-0.049261203,-0.098402792,0.99878593,0.995146668,-0.852748392,-0.890818342,0.522321913,-0.454359639,-0.195369851,-0.383210006,0.980729637,0.923661243,38.45551496,-238.4723037,7.972727068,-22.51180642,3423.638923,-200323.5153,126.930193,-1430.037449,-0.108656858,-0.049321082,-1.632610793,-0.199208674
25,3.355,-15.16215879,-64.17636054,-5.45090884,0.74770826,3.345,3.35,-6.4839388,-6.20125108,-5.96096362,-2.98343105,-2.82360179,-2.69602196,-59.11644558,-58.51186993,-57.87843718,-11.68844777,-11.26633006,-10.81987223,0.005,0.005,0.005,56.537544,48.057492,-1696.0104,31.965852,25.515966,-1289.9772,120.91513,126.68655,1154.284,84.423542,89.291566,973.6048,-0.103850858,-0.206578648,0.994592881,0.978429999,-0.047037098,-0.093970069,0.998893143,0.995575023,-0.846921874,-0.900646108,0.53171735,-0.43455332,-0.187721996,-0.368769424,0.982222201,0.929520905,35.53308728,-211.8114406,7.268534409,-19.59612838,3349.91349,-193887.7575,117.0696351,-1266.678494,-0.104415445,-0.047089219,-1.592804663,-0.191119683
26,3.36,-16.16141044,-65.55295117,-5.92393024,0.74251608,3.35,3.355,-6.20125108,-5.96096362,-5.69471784,-2.82360179,-2.69602196,-2.57568857,-58.51186993,-57.87843718,-57.23168652,-11.26633006,-10.81987223,-10.38555527,0.005,0.005,0.005,48.057492,53.249156,1038.3328,25.515966,24.066678,-289.8576,126.68655,129.350132,532.7164,89.291566,86.863392,-485.6348,-0.099228014,-0.197476592,0.995064722,0.980307602,-0.044939106,-0.089787411,0.998989728,0.995960953,-0.840866058,-0.910226182,0.541243265,-0.414111455,-0.180271173,-0.354635563,0.98361695,0.935004608,32.42981128,-184.6786248,6.63417161,-17.08755999,3275.465942,-187460.44,107.8597583,-1120.183481,-0.099720161,-0.044984553,-1.553582486,-0.183273756
27,3.365,-17.13984712,-66.93253808,-6.34449158,0.73816606,3.355,3.36,-5.96096362,-5.69471784,-5.46695538,-2.69602196,-2.57568857,-2.42287657,-57.87843718,-57.23168652,-56.5391062,-10.81987223,-10.38555527,-9.99769949,0.005,0.005,0.005,53.249156,45.552492,-1539.3328,24.066678,30.5624,1299.1444,129.350132,138.516064,1833.1864,86.863392,77.571156,-1858.4472,-0.095271654,-0.189676586,0.995451311,0.981846624,-0.042274572,-0.084473559,0.999106031,0.996425721,-0.834262342,-0.919970623,0.551367703,-0.391987312,-0.173608636,-0.341944682,0.984814724,0.939720083,29.88760113,-163.3941818,5.870330873,-14.22308713,3196.67053,-180736.8946,99.95399509,-999.3100058,-0.095706996,-0.042312398,-1.513078002,-0.176285581
28,3.37,-18.09723616,-68.31371624,-6.70998774,0.73456066,3.36,3.365,-5.69471784,-5.46695538,-5.27286725,-2.57568857,-2.42287657,-2.25768663,-57.23168652,-56.5391062,-55.80544623,-10.38555527,-9.99769949,-9.64298724,0.005,0.005,0.005,45.552492,38.817626,-1346.9732,30.5624,33.037988,495.1176,138.516064,146.731994,1643.186,77.571156,70.94245,-1325.7412,-0.091899046,-0.183020319,0.995768329,0.983109131,-0.039393869,-0.07872658,0.99922376,0.996896246,-0.827133999,-0.929706485,0.562004757,-0.368301305,-0.167508462,-0.330283348,0.985870638,0.94388183,27.80312904,-146.6022085,5.097148919,-11.50776497,3114.247829,-173791.9898,92.98720291,-896.6744112,-0.092289585,-0.039424472,-1.471756223,-0.16990917
29,3.375,-19.03138827,-69.69483717,-7.01880641,0.7316191,3.365,3.37,-5.46695538,-5.27286725,-5.07662278,-2.42287657,-2.25768663,-2.09239093,-56.5391062,-55.80544623,-55.05427614,-9.99769949,-9.64298724,-9.32685811,0.005,0.005,0.005,38.817626,39.248894,86.2536,33.037988,33.05914,4.2304,146.731994,150.234018,700.4048,70.94245,63.225826,-1543.3248,-0.088487895,-0.176281559,0.996077252,0.984339785,-0.036510994,-0.072973301,0.999333251,0.997333895,-0.819695024,-0.939042945,0.572800199,-0.343799865,-0.162066404,-0.319847725,0.986779854,0.947468961,25.77209885,-130.8352241,4.378099804,-9.16069632,3030.973321,-166868.0422,86.9902822,-811.3460191,-0.088836378,-0.036535354,-1.43103132,-0.16423765
