time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev,ankle_angle_l,delta_t,knee_angular_vel_r,ankle_angular_vel_r,knee_angular_vel_l,ankle_angular_vel_l
3.385,-20.80786747,-72.45268898,-7.46454162,0.72756148,3.38,-4.86995002,-4.71306941,-1.94637764,-1.7741671,-54.29653395,-53.49334337,-9.0175037,-8.75235818,0.005,31.376122,34.442108,160.638116,53.029104
3.39,-21.63802705,-73.83223146,-7.60265378,0.72648112,3.385,-4.71306941,-4.56150231,-1.7741671,-1.59920081,-53.49334337,-52.67168093,-8.75235818,-8.51647215,0.005,30.31342,34.993258,164.332488,47.177206
3.395,-22.42518942,-75.21669668,-7.68639659,0.72616258,3.39,-4.56150231,-4.43287599,-1.59920081,-1.40277784,-52.67168093,-51.81845673,-8.51647215,-8.32188802,0.005,25.725264,39.284594,170.64484,38.916826
3.4,-23.16974348,-76.61087381,-7.71834172,0.72679874,3.395,-4.43287599,-4.28564828,-1.40277784,-1.25245418,-51.81845673,-50.95404858,-8.32188802,-8.09042627,0.005,29.445542,30.064732,172.88163,46.29235
3.405,-23.87190316,-78.01736465,-7.70181952,0.72866679,3.4,-4.28564828,-4.19790513,-1.25245418,-1.04099666,-50.95404858,-50.07229148,-8.09042627,-7.94456796,0.005,17.54863,42.291504,176.35142,29.171662
3.41,-24.5330032,-79.43834983,-7.64089764,0.73212867,3.405,-4.19790513,-4.12020193,-1.04099666,-0.86230935,-50.07229148,-49.14818088,-7.94456796,-7.81350601,0.005,15.54064,35.737462,184.82212,26.21239
3.415,-25.1518356,-80.87440677,-7.54035371,0.73762548,3.41,-4.12020193,-4.027971,-0.86230935,-0.6928491,-49.14818088,-48.22301246,-7.81350601,-7.66441798,0.005,18.446186,33.89205,185.033684,29.817606
3.42,-25.72291665,-82.32382167,-7.40562739,0.74566444,3.415,-4.027971,-3.96290296,-0.6928491,-0.48415457,-48.22301246,-47.27241567,-7.66441798,-7.53133737,0.005,13.013608,41.738906,190.119358,26.616122
3.425,-26.24079562,-83.78638605,-7.24273557,0.75679599,3.42,-3.96290296,-3.9038857,-0.48415457,-0.30025418,-47.27241567,-46.29822574,-7.53133737,-7.42391812,0.005,11.803452,36.780078,194.837986,21.48385
3.43,-26.70257324,-85.26536867,-7.05815154,0.77158101,3.425,-3.9038857,-3.85759384,-0.30025418,-0.10386248,-46.29822574,-45.30655188,-7.42391812,-7.3325577,0.005,9.258372,39.27834,198.334772,18.272084
3.435,-27.10558657,-86.76353313,-6.8586547,0.79055025,3.43,-3.85759384,-3.81891862,-0.10386248,0.08844883,-45.30655188,-44.29220802,-7.3325577,-7.27106965,0.005,7.735044,38.462262,202.868772,12.29761
3.44,-27.44943645,-88.28342335,-6.65116012,0.814159,3.435,-3.81891862,-3.80246161,0.08844883,0.29368449,-44.29220802,-43.25802055,-7.27106965,-7.26056901,0.005,3.291402,41.047132,206.837494,2.100128
3.445,-27.73941434,-89.82830954,-6.44254617,0.84273998,3.44,-3.80246161,-3.77940521,0.29368449,0.49242977,-43.25802055,-42.198297,-7.26056901,-7.25862872,0.005,4.61128,39.749056,211.94471,0.388058
3.45,-27.98466093,-91.40074155,-6.23949796,0.87645686,3.445,-3.77940521,-3.76938128,0.49242977,0.70501768,-42.198297,-41.11541926,-7.25862872,-7.31216386,0.005,2.004786,42.517582,216.575548,-10.707028
3.455,-28.19649803,-93.00168759,-6.04837674,0.91526141,3.45,-3.76938128,-3.7744111,0.70501768,0.92578743,-41.11541926,-40.00807659,-7.31216386,-7.41105122,0.005,-1.005964,44.15395,221.468534,-19.777472
3.46,-28.38779146,-94.62995908,-5.92995246,0.95509076,3.455,-3.7744111,-3.78770113,0.92578743,1.15073436,-40.00807659,-38.88027252,-7.41105122,-7.558439,0.005,-2.658006,44.989386,225.560814,-29.477556
3.465,-28.57070264,-96.28134841,-5.848327,0.99846955,3.46,-3.78770113,-3.81498096,1.15073436,1.38726894,-38.88027252,-37.73411964,-7.558439,-7.72419029,0.005,-5.455966,47.306916,229.230576,-33.150258
3.47,-28.75555714,-97.94817422,-5.80767412,1.04466321,3.465,-3.81498096,-3.84200176,1.38726894,1.62070407,-37.73411964,-36.546727,-7.72419029,-7.98617917,0.005,-5.40416,46.687026,237.478528,-52.397776
3.475,-28.9525628,-99.6208095,-5.81355828,1.09252621,3.47,-3.84200176,-3.87589226,1.62070407,1.84881402,-36.546727,-35.33104844,-7.98617917,-8.2675201,0.005,-6.7781,45.62199,243.135712,-56.268186
3.48,-29.1700257,-101.2879354,-5.87098994,1.14065992,3.475,-3.87589226,-3.91579499,1.84881402,2.07546362,-35.33104844,-34.08869754,-8.2675201,-8.59234085,0.005,-7.980546,45.32992,248.47018,-64.96415
3.485,-29.412727,-102.9373996,-5.98450199,1.18744424,3.48,-3.91579499,-3.96469032,2.07546362,2.30133504,-34.08869754,-32.79502994,-8.59234085,-8.9710125,0.005,-9.779066,45.174284,258.73352,-75.73433
3.49,-29.6866444,-104.5613488,-6.15827049,1.23108106,3.485,-3.96469032,-4.00815107,2.30133504,2.50956435,-32.79502994,-31.48498186,-8.9710125,-9.40127867,0.005,-8.69215,41.645862,262.009616,-86.053234
3.495,-29.99914065,-106.1577919,-6.39639998,1.26965741,3.49,-4.00815107,-4.04166667,2.50956435,2.69179352,-31.48498186,-30.14631913,-9.40127867,-9.87978265,0.005,-6.70312,36.445834,267.732546,-95.700796
3.5,-30.35372089,-107.7264079,-6.70816602,1.30161159,3.495,-4.04166667,-4.10476636,2.69179352,2.90764444,-30.14631913,-28.80038995,-9.87978265,-10.34290699,0.005,-12.619938,43.170184,269.185836,-92.624868
3.505,-30.75016785,-109.2685566,-7.09129145,1.3245875,3.5,-4.10476636,-4.15780371,2.90764444,3.10203042,-28.80038995,-27.42230074,-10.34290699,-10.84165398,0.005,-10.60747,38.877196,275.617842,-99.749398
3.51,-31.18484493,-110.7883254,-7.54960452,1.33666601,3.505,-4.15780371,-4.21364948,3.10203042,3.29179859,-27.42230074,-26.0275292,-10.84165398,-11.34755176,0.005,-11.169154,37.953634,278.954308,-101.179556
3.515,-31.65154805,-112.2938008,-8.0870389,1.33605637,3.51,-4.21364948,-4.26052344,3.29179859,3.46975997,-26.0275292,-24.65595358,-11.34755176,-11.81737153,0.005,-9.374792,35.592276,274.315124,-93.963954
3.52,-32.13790051,-113.7928028,-8.70750698,1.32115543,3.515,-4.26052344,-4.33388312,3.46975997,3.66700393,-24.65595358,-23.24617616,-11.81737153,-12.2773703,0.005,-14.671936,39.448792,281.955484,-91.999754
3.525,-32.62641795,-115.2937351,-9.41465394,1.29060123,3.52,-4.33388312,-4.41171415,3.66700393,3.85931404,-23.24617616,-21.83200666,-12.2773703,-12.70983307,0.005,-15.566206,38.462022,282.8339,-86.492554
3.53,-33.09773008,-116.8080589,-10.21150476,1.2433207,3.525,-4.41171415,-4.49730425,3.85931404,4.04494678,-21.83200666,-20.42161877,-12.70983307,-13.0880419,0.005,-17.11802,37.126548,282.077578,-75.641766
3.535,-33.53045693,-118.3470123,-11.2871196,1.17822913,3.53,-4.49730425,-4.59121086,4.04494678,4.22850919,-20.42161877,-19.01943797,-13.0880419,-13.41523246,0.005,-18.781322,36.712482,280.43616,-65.438112
