,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
38,3.765,1.18294848,0.61621827,21.98664089,-0.98416115,3.755,3.76,-72.56508638,-72.61851519,-72.64577312,-17.02884018,-16.25232642,-15.51177869,-18.74785128,-18.24433055,-17.81811467,2.9287625,3.21190523,3.49733062
39,3.77,0.88826321,0.58691046,20.69572066,-2.15657292,3.76,3.765,-72.61851519,-72.64577312,-72.50713225,-16.25232642,-15.51177869,-14.86936329,-18.24433055,-17.81811467,-17.28951418,3.21190523,3.49733062,3.64251966
40,3.775,0.59286928,0.5665796,19.44446629,-3.33942496,3.765,3.77,-72.64577312,-72.50713225,-72.31954547,-15.51177869,-14.86936329,-14.21572186,-17.81811467,-17.28951418,-16.7969834,3.49733062,3.64251966,3.81460181
41,3.78,0.29723566,0.55435201,18.22473252,-4.52704325,3.77,3.775,-72.50713225,-72.31954547,-72.03160703,-14.86936329,-14.21572186,-13.62269498,-17.28951418,-16.7969834,-16.32019029,3.64251966,3.81460181,4.00367112
42,3.785,0.00190575,0.54929696,17.02786665,-5.71489865,3.775,3.78,-72.31954547,-72.03160703,-71.65267972,-14.21572186,-13.62269498,-13.0696248,-16.7969834,-16.32019029,-15.85744982,3.81460181,4.00367112,4.19655762
43,3.79,-0.29255881,0.55047575,15.84754579,-6.89939516,3.78,3.785,-72.03160703,-71.65267972,-71.1930972,-13.62269498,-13.0696248,-12.52032944,-16.32019029,-15.85744982,-15.38529915,4.00367112,4.19655762,4.3934462
44,3.795,-0.58566651,0.55697894,14.68121658,-8.07661113,3.785,3.79,-71.65267972,-71.1930972,-70.63877607,-13.0696248,-12.52032944,-12.00800761,-15.85744982,-15.38529915,-14.93985423,4.19655762,4.3934462,4.60991028
45,3.8,-0.87710413,0.56795184,13.52882288,-9.243763,3.79,3.795,-71.1930972,-70.63877607,-70.00517878,-12.52032944,-12.00800761,-11.51144307,-15.38529915,-14.93985423,-14.48960963,4.3934462,4.60991028,4.841339
46,3.805,-1.16550014,0.58260778,12.39230807,-10.39866502,3.795,3.8,-70.63877607,-70.00517878,-69.2874559,-12.00800761,-11.51144307,-11.04191955,-14.93985423,-14.48960963,-14.05966718,4.60991028,4.841339,5.08378108
47,3.81,-1.45124547,0.60023377,11.2779315,-11.53863308,3.8,3.805,-70.00517878,-69.2874559,-68.49086113,-11.51144307,-11.04191955,-10.5789616,-14.48960963,-14.05966718,-13.63074433,4.841339,5.08378108,5.33514798
